feature1,feature2,feature3
0.448276,0.555556,0.482353
0.367816,0.518519,0.423529
0.390805,0.493827,0.435294
0.425287,0.543210,0.458824
0.413793,0.567901,0.482353
0.517241,0.617284,0.541176
0.448276,0.555556,0.505882
0.379310,0.518519,0.435294
0.356322,0.493827,0.400000
0.367816,0.444444,0.388235
0.413793,0.469136,0.423529
0.367816,0.493827,0.411765
0.390805,0.493827,0.411765
0.448276,0.518519,0.470588
0.505747,0.592593,0.529412
0.459770,0.530864,0.470588
0.517241,0.691358,0.600000
0.505747,0.481481,0.494118
0.344828,0.444444,0.364706
0.333333,0.419753,0.341176
0.333333,0.469136,0.388235
0.425287,0.481481,0.435294
0.425287,0.469136,0.423529
0.528736,0.555556,0.529412
0.494253,0.555556,0.505882
0.356322,0.432099,0.400000
0.390805,0.419753,0.400000
0.471264,0.580247,0.505882
0.448276,0.592593,0.494118
0.494253,0.592593,0.505882
0.482759,0.654321,0.552941
0.494253,0.617284,0.529412
0.505747,0.641975,0.552941
0.540230,0.666667,0.588235
0.425287,0.530864,0.458824
0.344828,0.506173,0.411765
0.356322,0.469136,0.400000
0.287356,0.345679,0.305882
0.379310,0.419753,0.400000
0.390805,0.555556,0.470588
0.356322,0.444444,0.376471
0.275862,0.395062,0.329412
0.298851,0.407407,0.341176
0.344828,0.432099,0.388235
0.275862,0.395062,0.329412
0.321839,0.432099,0.376471
0.264368,0.358025,0.294118
0.298851,0.370370,0.294118
0.298851,0.419753,0.341176
0.241379,0.382716,0.294118
0.344828,0.419753,0.364706
0.275862,0.358025,0.329412
0.356322,0.407407,0.376471
0.425287,0.493827,0.447059
0.356322,0.518519,0.411765
0.298851,0.419753,0.341176
0.275862,0.358025,0.317647
0.287356,0.370370,0.305882
0.252874,0.234568,0.200000
0.206897,0.160494,0.164706
0.241379,0.246914,0.223529
0.172414,0.197531,0.176471
0.275862,0.308642,0.247059
0.160920,0.160494,0.152941
0.275862,0.148148,0.235294
0.287356,0.395062,0.317647
0.252874,0.345679,0.294118
0.252874,0.358025,0.305882
0.252874,0.382716,0.317647
0.379310,0.395062,0.388235
0.379310,0.432099,0.388235
0.298851,0.395062,0.341176
0.448276,0.456790,0.411765
0.425287,0.481481,0.423529
0.471264,0.555556,0.482353
0.459770,0.617284,0.529412
0.471264,0.567901,0.494118
0.471264,0.543210,0.470588
0.505747,0.555556,0.505882
0.528736,0.580247,0.541176
0.505747,0.604938,0.552941
0.425287,0.506173,0.458824
0.413793,0.506173,0.435294
0.425287,0.530864,0.470588
0.540230,0.493827,0.505882
0.643678,0.604938,0.564706
0.586207,0.617284,0.564706
